name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035,380.0,AC,8.3642599,51.9285179,DE,Slack,0 biomass
1,eGon2035,380.0,AC,10.9514308,51.216475,DE,PV,1 biomass
10,eGon2035,380.0,AC,10.244841112584638,53.16714452139119,DE,PV,10 biomass
11,eGon2035,380.0,AC,8.8002766,49.8420185,DE,PV,11 biomass
12,eGon2035,380.0,AC,6.868589165127263,51.28865757410413,DE,PV,12 biomass
13,eGon2035,380.0,AC,10.685784100000001,48.775074800000006,DE,PV,13 biomass
14,eGon2035,380.0,AC,7.32817357112307,52.867004159281805,DE,PV,14 biomass
15,eGon2035,380.0,AC,12.412315363157719,51.06214408153047,DE,PV,15 biomass
2,eGon2035,380.0,AC,8.625017900000001,48.279612500000006,DE,PV,2 biomass
3,eGon2035,380.0,AC,13.866684200000002,51.9423813,DE,PV,3 biomass
4,eGon2035,380.0,AC,9.3398471,54.0931786,DE,PV,4 biomass
41276,eGon2035,110.0,dsm,7.170036396085001,49.77093576468102,DE,Slack,41276 load shedding
41288,eGon2035,110.0,dsm,8.870817406783862,48.360112238389256,DE,Slack,41288 load shedding
41526,eGon2035,110.0,dsm,11.818552685730602,52.792473623424016,DE,Slack,41526 load shedding
41530,eGon2035,110.0,dsm,9.695334803460504,54.09323119216946,DE,Slack,41530 load shedding
41544,eGon2035,110.0,dsm,12.457081743048201,51.17283423456377,DE,Slack,41544 load shedding
42514,eGon2035,110.0,dsm,13.498214309042377,53.642807053095595,DE,Slack,42514 load shedding
42528,eGon2035,110.0,dsm,10.269608412523555,52.777500306168335,DE,Slack,42528 load shedding
42658,eGon2035,110.0,dsm,11.900031688318641,48.86927255337159,DE,Slack,42658 load shedding
42664,eGon2035,110.0,dsm,8.517784235145108,51.84663444075924,DE,Slack,42664 load shedding
42704,eGon2035,110.0,dsm,7.307670368870014,52.853066504951045,DE,Slack,42704 load shedding
42708,eGon2035,110.0,dsm,11.057299647701456,50.84915829412692,DE,Slack,42708 load shedding
42816,eGon2035,110.0,dsm,8.493619312179392,53.237504765499345,DE,Slack,42816 load shedding
43542,eGon2035,110.0,dsm,10.569675865465708,48.300566068236876,DE,Slack,43542 load shedding
43544,eGon2035,110.0,dsm,6.977776136486374,51.20641259245858,DE,Slack,43544 load shedding
43546,eGon2035,110.0,dsm,13.632147032557198,52.10502069054766,DE,Slack,43546 load shedding
43744,eGon2035,110.0,dsm,8.74456806916562,49.76436943932154,DE,Slack,43744 load shedding
43775,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,PV,43775 oil
43776,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,PV,43776 coal
43777,eGon2035,380.0,AC,8.207947631625533,46.82343065666129,CH,PV,43777 nuclear
